Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
First Sunday of Advent [1] Violet,2019-12-01,,,,TRUE,FALSE,"First Sunday of Advent [1] Violet
Week of Advent 1
Year A/2

EUCHARIST
Isaiah 2:1-5
Psalm 122
Romans 13:11-14
Matthew 24:36-44

DAILY PRAYER: Anticipation
Isaiah 1:1-20
1 Thessalonians 5:1-11
John 3:1-17

ALTERNATIVE PSALMS
Morning: Psalm 9
Evening: Psalm 25

---

Downloaded from https://www.seccalendar.org.uk
v1.0.4

UPDATES
v1.0.2.2019-11-25 FIX All Souls DP to Commendation
v1.0.3.2019-11-27 FIX Friday after the Last Sunday after Pentecost had wrong day in description
v1.0.3 2020-09-17 FIX Various corrections",Normal,Normal,3
"Nicholas Ferrar, Deacon, 1637 [6] White",2019-12-02,,,,TRUE,FALSE,"Nicholas Ferrar, Deacon, 1637 [6] White
Monday after First Sunday of Advent (Violet)
Week of Advent 1
Year A/2

DAILY EUCHARIST
Isaiah 2:1-5
Psalm 122 
Matthew 8:5-13

DAILY PRAYER: Anticipation 
Amos 1:1-3, 13 - 2:16
2 Peter 1:1-11
Matthew 21:1-11",Normal,Normal,3
"Francis Xavier, Priest and Missionary, 1552 [6] White",2019-12-03,,,,TRUE,FALSE,"Francis Xavier, Priest and Missionary, 1552 [6] White
Tuesday after First Sunday of Advent (Violet)
Week of Advent 1
Year A/2

DAILY EUCHARIST
Isaiah 11:1-10
Psalm 72:1-8
Luke 10:21-24

DAILY PRAYER: Anticipation
Amos 3:1-11
2 Peter 1:12-21
Matthew 21:12-22",Normal,Normal,3
"Clement of Alexandria, Teacher of the Faith, c.214 [6] White",2019-12-04,,,,TRUE,FALSE,"Clement of Alexandria, Teacher of the Faith, c.214 [6] White
Wednesday after First Sunday of Advent (Violet)
Week of Advent 1
Year A/2

DAILY EUCHARIST
Isaiah 25:6-9
Psalm 23
Matthew 15:29-39

DAILY PRAYER: Anticipation
Amos 3:12 - 4:5
2 Peter 3:1-10
Matthew 21:23-32",Normal,Normal,3
"Charles de Foucauld, Priest and Hermit, 1916 [6] White (translated from 1 December)",2019-12-05,,,,TRUE,FALSE,"Charles de Foucauld, Priest and Hermit, 1916 [6] White (translated from 1 December)
Thursday after First Sunday of Advent (Violet)
Week of Advent 1
Year A/2

DAILY EUCHARIST
Isaiah 26:6-9
Psalm 118:19-24
Matthew 7:21-27

DAILY PRAYER: Anticipation
Amos 4:6-13
2 Peter 3:11-18
Matthew 21:33-46",Normal,Normal,3
"Nicholas of Myra, Bishop, 4th century [6] White",2019-12-06,,,,TRUE,FALSE,"Nicholas of Myra, Bishop, 4th century [6] White
Friday after First Sunday of Advent (Violet)
Week of Advent 1
Year A/2

DAILY EUCHARIST
Isaiah 29:17-24
Psalm 27:1-6, 17-18
Matthew 9:27-31

DAILY PRAYER: Anticipation
Amos 5:1-17
Jude 1-16
Matthew 22:1-14",Normal,Normal,3
"Ambrose of Milan, Bishop and Teacher of the Faith, 397 [6] White",2019-12-07,,,,TRUE,FALSE,"Ambrose of Milan, Bishop and Teacher of the Faith, 397 [6] White
Saturday after First Sunday of Advent (Violet)
Week of Advent 1
Year A/2

DAILY EUCHARIST
Isaiah 30:19-21, 23-26
Psalm 147:1-12
Matthew 9:35 - 10:1, 5-8

DAILY PRAYER: Anticipation
Amos 5:18-27
Jude 17-25
Matthew 22:15-22",Normal,Normal,3
Second Sunday of Advent [1] Violet,2019-12-08,,,,TRUE,FALSE,"Second Sunday of Advent [1] Violet
Week of Advent 2
Year A/2

EUCHARIST
Isaiah 11:1-10
Psalm 72:1-7, 18-19
Romans 15:4-13
Matthew 3:1-12

DAILY PRAYER: Anticipation 
1 Kings 22:1-28
Romans 13:11-14
John 1:19-28

ALTERNATIVE PSALMS
Morning: Psalm 11
Evening: Psalm 40:11-17",Normal,Normal,3
"The Conception of Mary, Mother of the Lord [5] White (translated from 8 December)",2019-12-09,,,,TRUE,FALSE,"The Conception of Mary, Mother of the Lord [5] White (translated from 8 December)
Monday after Second Sunday of Advent (Violet)
Week of Advent 2
Year A/2

DAILY EUCHARIST
Isaiah 35:1-10 
Psalm 85:8-13 
Luke 5:17-26

DAILY PRAYER: Festivals
Amos 6:1-14 
Revelation 1:1-8 
Matthew 22:23-33

---

Common readings for saints' days
MARY, MOTHER OF THE LORD

Genesis 3:9-15, 20
Psalm 45:10-17
Acts 1:12-14
Luke 1:26-38

or

Isaiah 7:10-14
Psalm 113
Romans 8:18-30
Luke 1:39-47

or

Micah 5:1-4
Psalm 131
Galatians 4:4-7
John 19:25-27",Normal,Normal,3
Tuesday after Second Sunday of Advent,2019-12-10,,,,TRUE,FALSE,"Tuesday after Second Sunday of Advent (Violet)
Week of Advent 2
Year A/2

DAILY EUCHARIST
Isaiah 40:1-11 
Psalm 96 
Matthew 18:12-14 

DAILY PRAYER: Anticipation 
Amos 7:1-17 
Revelation 1:9-16 
Matthew 22:34-46",Normal,Normal,3
