Import file template field,Start date,,SUBJECT,SUBJECT,SUBJECT,DESCRIPTION,DESCRIPTION,DESCRIPTION,,DESCRIPTION,DESCRIPTION,
Thursday,2022-12-15,,Thursday after Third Sunday of Advent,,,,"Thursday 15 December 2022

Thursday after Third Sunday of Advent
Week of Advent 3
Year A/1

DAILY EUCHARIST (Violet)
Isaiah 54:1-10
Psalm 30
Luke 7:24-30

DAILY PRAYER: Anticipation 
Isaiah 9:18 - 10:4
2 Peter 2:10b-16
Matthew 3:1-12

COLLECT
Stir up our prayers, Lord, and hear us:
that they who are sorrowful and suffering
may rejoice at the Advent of your only-begotten Son;
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Friday,2022-12-16,,Friday after Third Sunday of Advent,,,,"Friday 16 December 2022

Friday after Third Sunday of Advent
Ember Day
Week of Advent 3
Year A/1

DAILY EUCHARIST (Violet)
Isaiah 56:1-8
Psalm 67
John 5:33-36

DAILY PRAYER: Anticipation 
Isaiah 10:5-19
2 Peter 2:17-22
Matthew 11:2-15

EMBER DAY READINGS
Numbers 27:15-23
Psalm 40:8-13
1 Corinthians 3:3-11
Luke 4:16-21

COLLECT
Stir up our prayers, Lord, and hear us:
that they who are sorrowful and suffering
may rejoice at the Advent of your only-begotten Son;
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Saturday,2022-12-17,,Saturday after Third Sunday of Advent,,,,"Saturday 17 December 2022

Saturday after Third Sunday of Advent
17 December
Week of Advent 3
Year A/1

DAILY EUCHARIST (Violet)
Genesis 49:2, 8-10
Psalm 72:1-8
Matthew 1:1-7, 17

DAILY PRAYER: Anticipation
Isaiah 10:20-27
Jude 17-25
Luke 3.1-9

EMBER DAY READINGS
1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27

COLLECT
Stir up our prayers, Lord, and hear us:
that they who are sorrowful and suffering
may rejoice at the Advent of your only-begotten Son;
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Sunday - ADVENT 4,2022-12-18,,Fourth Sunday of Advent [1] Violet,,,,"Sunday 18 December 2022

Fourth Sunday of Advent [1] Violet
18 December
Week of Advent 4
Year A/1

EUCHARIST
Isaiah 7:10-16
Psalm 80:1-7, 17-19
Romans 1:1-7
Matthew 1:18-25

DAILY PRAYER: Anticipation 
Isaiah 42:1-12
Ephesians 6:10-20
John 3:16-21

COLLECT
Stir up your power, Lord, and come: 
and strengthen us by the might of your love; 
that, although we are hindered by our sins, 
your abundant grace and mercy may quickly come and save us; 
for you live and reign with the Father, 
in the unity of the Holy Spirit, 
one God, world without end.
",,,,,
Monday,2022-12-19,,Monday after Fourth Sunday of Advent,,,,"Monday 19 December 2022

Monday after Fourth Sunday of Advent
19 December
Week of Advent 4
Year A/1

DAILY EUCHARIST (Violet)
Judges 13:2-7, 24-25
Psalm 71:1-8
Luke 1:5-25

DAILY PRAYER: Anticipation 
Isaiah 11:1-9
Revelation 20:1-10
John 5:30-47

COLLECT
Stir up your power, Lord, and come: 
and strengthen us by the might of your love; 
that, although we are hindered by our sins, 
your abundant grace and mercy may quickly come and save us; 
for you live and reign with the Father, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Tuesday,2022-12-20,,Tuesday after Fourth Sunday of Advent,,,,"Tuesday 20 December 2022

Tuesday after Fourth Sunday of Advent
20 December
Week of Advent 4
Year A/1

DAILY EUCHARIST (Violet)
Isaiah 7:10-14
Psalm 24
Luke 1:26-38

DAILY PRAYER: Anticipation 
Isaiah 11:10-16
Revelation 20:11 - 21:8
Luke 1:5-25

COLLECT
Stir up your power, Lord, and come: 
and strengthen us by the might of your love; 
that, although we are hindered by our sins, 
your abundant grace and mercy may quickly come and save us; 
for you live and reign with the Father, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Wednesday,2022-12-21,,"Thomas, Apostle [4] Red (if not kept on 3 July)",,,,"Wednesday 21 December 2022

Thomas, Apostle [4] Red (if not kept on 3 July)
Week of Advent 4
Year A/1

EUCHARIST
Habakkuk 2:1-4
Psalm 31:1-6
Hebrews 10:35 - 11:1 or Ephesians 2:19-22
John 20:24-29

MORNING PRAYER: Festivals
Job 42:1-6
1 Peter 1:3-9

EVENING PRAYER: Festivals
Isaiah 43:8-13
John 14:1-7

COLLECT
Almighty and everliving God, 
who strengthened your apostle Thomas 
with faith in the resurrection of your Son: 
grant to us, who have not seen, 
that we also may believe 
and so confess Christ as our Lord and our God; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.


---

Wednesday after Fourth Sunday of Advent
21 December
Week of Advent 4
Year A/1

DAILY EUCHARIST (Violet)
Song of Solomon 2:8-14 or Zephaniah 3:14-18a
Psalm 33:1-5, 20-22
Luke 1:39-45

DAILY PRAYER: Anticipation 
Isaiah 28:9-22
Revelation 21:9-21
Luke 1:26-38

COLLECT
Stir up your power, Lord, and come: 
and strengthen us by the might of your love; 
that, although we are hindered by our sins, 
your abundant grace and mercy may quickly come and save us; 
for you live and reign with the Father, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Thursday,2022-12-22,,Thursday after Fourth Sunday of Advent,,,,"Thursday 22 December 2022

Thursday after Fourth Sunday of Advent
22 December
Week of Advent 4
Year A/1

DAILY EUCHARIST (Violet)
1 Samuel 1:19-28
Psalm 113 or Psalm 122
Luke 1:46-56

DAILY PRAYER: Anticipation 
Isaiah 29:13-24
Revelation 21:22 - 22:5
Luke 1:39-48a, (48b-56)

COLLECT
Stir up your power, Lord, and come: 
and strengthen us by the might of your love; 
that, although we are hindered by our sins, 
your abundant grace and mercy may quickly come and save us; 
for you live and reign with the Father, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2022-12-23,,Friday after Fourth Sunday of Advent,,,,"Friday 23 December 2022

Friday after Fourth Sunday of Advent
23 December
Week of Advent 4
Year A/1

DAILY EUCHARIST (Violet)
Malachi 3:1-5
Psalm 25:1-14
Luke 1:57-66

DAILY PRAYER: Anticipation 
Isaiah 33:17-22
Revelation 22:6-11, 18-20
Luke 1:57-66

COLLECT
Stir up your power, Lord, and come: 
and strengthen us by the might of your love; 
that, although we are hindered by our sins, 
your abundant grace and mercy may quickly come and save us; 
for you live and reign with the Father, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2022-12-24,,Christmas Eve [2],,,,"Saturday 24 December 2022

Christmas Eve [2]
24 December
Christmas
Year A/1

DAILY EUCHARIST (Violet)
2 Samuel 7:1-16
Psalm 89:1-4, 19-29
Luke 1:67-79

DAILY PRAYER: Anticipation 
Morning:
Isaiah 35:1-10
Revelation 22:12-17, 21
Luke 1:67-80

Evening:
Isaiah 59:15b-21
Philippians 2:5-11

COLLECT
Stir up your power, Lord, and come: 
and strengthen us by the might of your love; 
that, although we are hindered by our sins, 
your abundant grace and mercy may quickly come and save us; 
for you live and reign with the Father, 
in the unity of the Holy Spirit, 
one God, world without end.

The following Collect is provided for celebrations of Christmas at Midnight on 24/25 December

O God, 
you have made this most holy night 
grow radiant with the brilliance of the true Light: 
grant that, as we have known the mystery of that Light on earth, 
so we may delight in him in heaven; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday - CHRISTMAS DAY,2022-12-25,,CHRISTMAS DAY [1] White,,,,"Sunday 25 December 2022

CHRISTMAS DAY [1] White
Christmas
Year A/1

EUCHARIST
Any of these propers may be used at midnight or during the day:  Those listed under C should be used at least once during the Christmas season:

A
Isaiah 9:2-7
Psalm 96
Titus 2:11-14
Luke 2:1-14 (15-20) 

B
Isaiah 62:6-12
Psalm 97
Titus 3:4-7
Luke 2: (1-7) 8-20

C
Isaiah 52:7-10
Psalm 98
Hebrews 1:1-4 (5-12) 
John 1:1-14

DAILY PRAYER: Incarnation 
Zechariah 2:10-13
1 John 4:7-16
John 3:31-36

COLLECT
O God, 
you have made this most holy night 
grow radiant with the brilliance of the true Light: 
grant that, as we have known the mystery of that Light on earth, 
so we may delight in him in heaven; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.
The following Collect is provided for celebrations of Christmas in the Early Morning on 25 December. It is suitable for use at any or all of the celebrations on Christmas Day and is to be used at Morning Prayer. It may be used for other celebrations during the week after Christmas if optional commemorations [6] are not kept on 30 and 31 December –

O God our Father, 
the light of whose Word has come among us 
in the Holy Child of Bethlehem: 
grant that the radiance of that true light, 
which enlightens our minds by faith, 
may shine brightly through our words and deeds; 
through the same Jesus Christ our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

The following Collect is provided for celebrations of Christmas during the day on 25 December. Also for use at Evening Prayer and may be used for other celebrations dur-ing the week after Christmas if optional commemorations [6] are not kept on 30 and 31 December –

O God, 
who wonderfully created 
and yet more wonderfully restored 
the dignity of our human nature: 
grant that we may share in the divinity of Christ, 
who humbled himself to share in our humanity; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2022-12-26,,"Stephen, Deacon and Martyr [4] Red",,,,"Monday 26 December 2022

Stephen, Deacon and Martyr [4] Red
26 December
The Remaining Days of Christmas
Year A/1

DAILY EUCHARIST
Jeremiah 26:1-9, 12-15
Psalm 31:1-7, 16
Acts 6:8 - 7:2a, 51c-60
Matthew 23:34-39

DAILY PRAYER: Incarnation/Festivals
Morning:
2 Chronicles 24:17-22
Acts 6:1-7

Evening:
Wisdom of Solomon 4:7-15
Acts 7:59 - 8:8

COLLECT
Grant, O Lord, that we may learn to love our enemies
by the example of your martyr, Saint Stephen,
who prayed to you for his persecutors;
for you live and reign with the Father,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Tuesday,2022-12-27,,"John, Apostle and Evangelist [4] White",,,,"Tuesday 27 December 2022

John, Apostle and Evangelist [4] White
27 December
The Remaining Days of Christmas
Year A/1

DAILY EUCHARIST
Genesis 1 or Genesis 1:1-5, 12-19
Psalm 92:1-2, 11-14
1 John 1:1-9
John 20:1-8

DAILY PRAYER: Incarnation/Festivals
Morning:
Proverbs 8:22-30
John 13:20-35

Evening:
Isaiah 44:1-8
1 John 5:1-12

COLLECT
Merciful Lord, 
shed upon your people 
the bright beams of your light: 
that enlightened by the teaching of Saint John,
your apostle and evangelist, 
we may live in the light of your truth, 
and come at length to the fullness of eternal life;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.
",,,,,
