Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
First Sunday of Advent [1] Violet,2020-11-29,,,,TRUE,FALSE,"Sunday 29 November 2020

Week of Advent 1
First Sunday of Advent [1] Violet
Year B/1

EUCHARIST
Isaiah 64:1-9
Psalm 80:1-7, 17-19
1 Corinthians 1:3-9
Mark 13:24-37

DAILY PRAYER: Anticipation
Isaiah 52:1-12
Revelation 14:13 - 15:4
Matthew 24:15-18

ALTERNATIVE PSALMS
Morning: Psalm 9
Evening: Psalm 25

---

Downloaded from https://www.seccalendar.org.uk/
v1.0.3-2021-05-09",Normal,Normal,3
"Andrew, Apostle, Patron of Scotland [4] Red",2020-11-30,,,,TRUE,FALSE,"Monday 30 November 2020

Andrew, Apostle, Patron of Scotland [4] Red
Week of Advent 1
Year B/1

EUCHARIST
Deuteronomy 30:11-14 or Isaiah 52:7-10
Psalm 19:1-6
Romans 10:(8b-11), 12-18
Matthew 4:18-22

MORNING PRAYER: Festivals
Isaiah 49:1-6
1 Corinthians 4:1-16

EVENING PRAYER: Festivals
Isaiah 55:1-5
John 1:35-42

---

Monday after First Sunday of Advent
Week of Advent 1
Year B/1

DAILY EUCHARIST (Violet)
Isaiah 4:2-6 
Psalm 122 
Matthew 8:5-13

DAILY PRAYER: Anticipation 
Isaiah 1:1-20
1 Thessalonians 1:1-10
Luke 20:1-8",Normal,Normal,3
"Charles de Foucauld, Priest and Hermit, 1916 [6] White",2020-12-01,,,,TRUE,FALSE,"Tuesday 1 December 2020

Charles de Foucauld, Priest and Hermit, 1916 [6] White
Tuesday after First Sunday of Advent (Violet)
Week of Advent 1
Year B/1

DAILY EUCHARIST
Isaiah 11:1-10 
Psalm 72:1-8 
Luke 10:21-24 

DAILY PRAYER: Anticipation 
Isaiah 1:21-31
1 Thessalonians 2:1-12
Luke 20:9-18",Normal,Normal,3
"Nicholas Ferrar, Deacon, 1637 [6] White",2020-12-02,,,,TRUE,FALSE,"Wednesday 2 December 2020

Nicholas Ferrar, Deacon, 1637 [6] White
Wednesday after First Sunday of Advent (Violet)
Week of Advent 1
Year B/1

DAILY EUCHARIST
Isaiah 25:6-9 
Psalm 23 
Matthew 15:29-39 

DAILY PRAYER: Anticipation 
Isaiah 2:1-11
1 Thessalonians 2:13-20
Luke 20:19-26",Normal,Normal,3
"Francis Xavier, Priest and Missionary, 1552 [6] White",2020-12-03,,,,TRUE,FALSE,"Thursday 3 December 2020

Francis Xavier, Priest and Missionary, 1552 [6] White
Thursday after First Sunday of Advent (Violet)
Week of Advent 1
Year B/1

DAILY EUCHARIST
Isaiah 26:1-6 
Psalm 118:19-24 
Matthew 7:21-27 

DAILY PRAYER: Anticipation 
Isaiah 2:12-22
1 Thessalonians 3:1-13
Luke 20:27-40",Normal,Normal,3
"Clement of Alexandria, Teacher of the Faith, c.214 [6] White",2020-12-04,,,,TRUE,FALSE,"Friday 4 December 2020

Clement of Alexandria, Teacher of the Faith, c.214 [6] White
Friday after First Sunday of Advent (Violet)
Week of Advent 1
Year B/1

DAILY EUCHARIST
Isaiah 29:17-24 
Psalm 27:1-6, 17-18 
Matthew 9:27-31 

DAILY PRAYER: Anticipation 
Isaiah 3:8-15
1 Thessalonians 4:1-12
Luke 20:41 - 21:4",Normal,Normal,3
Saturday after First Sunday of Advent,2020-12-05,,,,TRUE,FALSE,"Saturday 5 December 2020

Saturday after First Sunday of Advent (Violet)
Week of Advent 1
Year B/1

DAILY EUCHARIST
Isaiah 30:19-21, 23-26
Psalm 147:1-12
Matthew 9:35 - 10:1, 5-8

DAILY PRAYER: Anticipation 
Isaiah 4:2-6
1 Thessalonians 4:13-18
Luke 21:5-19",Normal,Normal,3
Second Sunday of Advent [1] Violet,2020-12-06,,,,TRUE,FALSE,"Sunday 6 December 2020

Second Sunday of Advent [1] Violet
Week of Advent 2
Year B/1

EUCHARIST
Isaiah 40:1-11
Psalm 85:1-2, 8-13
2 Peter 3:8-15a
Mark 1:1-8

DAILY PRAYER: Anticipation 
1 Kings 18:17-39
Romans 15:4-13
Luke 1:1-25

ALTERNATIVE PSALMS
Morning: Psalm 11
Evening: Psalm 40:11-17",Normal,Normal,3
"Ambrose of Milan, Bishop and Teacher of the Faith, 397 [6] White",2020-12-07,,,,TRUE,FALSE,"Monday 7 December 2020

Ambrose of Milan, Bishop and Teacher of the Faith, 397 [6] White
Monday after Second Sunday of Advent (Violet)
Week of Advent 2
Year B/1

DAILY EUCHARIST
Isaiah 35:1-10 
Psalm 85:8-13 
Luke 5:17-26

DAILY PRAYER: Anticipation 
Isaiah 5:1-13
1 Thessalonians 5:1-11
Luke 21:20-28",Normal,Normal,3
"The Conception of Mary, Mother of the Lord [5] White",2020-12-08,,,,TRUE,FALSE,"Tuesday 8 December 2020

The Conception of Mary, Mother of the Lord [5] White
Week of Advent 2
Year B/1

Common readings for saints' days
Mary, Mother of the Lord

Genesis 3:9-15, 20
Psalm 45:10-17
Acts 1:12-14
Luke 1:26-38

or

Isaiah 7:10-14
Psalm 113
Romans 8:18-30
Luke 1:39-47

or

Micah 5:1-4
Psalm 131
Galatians 4:4-7
John 19:25-27

---

Tuesday after Second Sunday of Advent (Violet)
Week of Advent 2
Year B/1

DAILY EUCHARIST
Isaiah 40:1-11 
Psalm 96 
Matthew 18:12-14 

DAILY PRAYER: Anticipation 
Isaiah 5:14-25
1 Thessalonians 5:12-28
Luke 21:29-38",Normal,Normal,3
"Nicholas of Myra, Bishop, 4th century [6] White (translated from 6 December)",2020-12-09,,,,TRUE,FALSE,"Wednesday 9 December 2020

Nicholas of Myra, Bishop, 4th century [6] White (translated from 6 December)
Wednesday after Second Sunday of Advent (Violet)
Week of Advent 2
Year B/1

DAILY EUCHARIST
Isaiah 40:25-31 
Psalm 103:1-10 
Matthew 11:28-30

DAILY PRAYER: Anticipation 
Isaiah 6:1-13
2 Thessalonians 1:1-12
John 7:53 - 8:11",Normal,Normal,3
Thursday after Second Sunday of Advent,2020-12-10,,,,TRUE,FALSE,"Thursday 10 December 2020

Thursday after Second Sunday of Advent (Violet)
Week of Advent 2
Year B/1

DAILY EUCHARIST
Isaiah 41:13-20 
Psalm 145:1-4, 8-13 
Matthew 11:7-15 

DAILY PRAYER: Anticipation 
Isaiah 7:1-9
2 Thessalonians 2:1-12
Luke 22:1-13",Normal,Normal,3
Friday after Second Sunday of Advent,2020-12-11,,,,TRUE,FALSE,"Friday 11 December 2020

Friday after Second Sunday of Advent (Violet)
Week of Advent 2
Year B/1

DAILY EUCHARIST
Isaiah 48:17-19 
Psalm 1 
Matthew 11:16-19

DAILY PRAYER: Anticipation 
Isaiah 7:10-25
2 Thessalonians 2:13 - 3:5
Luke 22:14-30",Normal,Normal,3
Saturday after Second Sunday of Advent,2020-12-12,,,,TRUE,FALSE,"Saturday 12 December 2020

Saturday after Second Sunday of Advent (Violet)
Week of Advent 2
Year B/1

DAILY EUCHARIST
Sirach 48:1-11
Psalm 80:1-3, 14-18
Matthew 17:9-13

DAILY PRAYER: Anticipation 
Isaiah 8:1-15
2 Thessalonians 3:6-18
Luke 22:31-38",Normal,Normal,3
Third Sunday of Advent [1] Violet,2020-12-13,,,,TRUE,FALSE,"Sunday 13 December 2020

Third Sunday of Advent [1] Violet
Week of Advent 3
Year B/1

EUCHARIST
Isaiah 61:1-4, 8-11
Psalm 126 or Canticle: Luke 1:47-55
1 Thessalonians 5:16-24
John 1:6-8, 19-28

DAILY PRAYER: Anticipation 
Malachi 3:1-4; 4
Philippians 4:4-7
Luke 1:57-66

ALTERNATIVE PSALMS
Morning: Psalm 12
Evening: Psalm 68:1-8, (9-20)",Normal,Normal,3
"John of the Cross, Priest, Teacher of the Faith, 1591 [6] White",2020-12-14,,,,TRUE,FALSE,"Monday 14 December 2020

John of the Cross, Priest, Teacher of the Faith, 1591 [6] White
Monday after Third Sunday of Advent (Violet)
Week of Advent 3
Year B/1

DAILY EUCHARIST
Numbers 24:2-7, 15-17a
Psalm 25:3-8
Matthew 21:23-27

DAILY PRAYER: Anticipation 
Isaiah 8:16 - 9:1
2 Peter 1:1-11
Luke 22:39-53",Normal,Normal,3
Tuesday after Third Sunday of Advent,2020-12-15,,,,TRUE,FALSE,"Tuesday 15 December 2020

Tuesday after Third Sunday of Advent (Violet)
Week of Advent 3
Year B/1

DAILY EUCHARIST
Zephaniah 3:1-2. 9-13
Psalm 34:1-8, 15-22
Matthew 21:28-32

DAILY PRAYER: Anticipation 
Isaiah 9:1-7
2 Peter 1:12-21
Luke 22:54-69",Normal,Normal,3
Wednesday after Third Sunday of Advent,2020-12-16,,,,TRUE,FALSE,"Wednesday 16 December 2020

Wednesday after Third Sunday of Advent (Violet)
Week of Advent 3
Year B/1

DAILY EUCHARIST
Isaiah 45:5-8, (9-17), 18-25
Psalm 85:8-13
Luke 7:19-23

DAILY PRAYER: Anticipation 
Isaiah 9:8-17
2 Peter 2:1-10a
Mark 1:1-8

---

EMBER DAY READINGS
Wednesday after 13 December

Isaiah 44:1-8
Psalm 87
1 Peter 2:4-10
John 17:6-19",Normal,Normal,3
Thursday after Third Sunday of Advent,2020-12-17,,,,TRUE,FALSE,"Thursday 17 December 2020

Thursday after Third Sunday of Advent (Violet)
Week of Advent 3
Year B/1

DAILY EUCHARIST
Genesis 49:2, 8-10
Psalm 72:1-8
Matthew 1:1-7, 17

DAILY PRAYER: Anticipation 
Isaiah 9:18 - 10:4
2 Peter 2:10b-16
Matthew 3:1-12",Normal,Normal,3
Friday after Third Sunday of Advent,2020-12-18,,,,TRUE,FALSE,"Friday 18 December 2020

Friday after Third Sunday of Advent (Violet)
Week of Advent 3
Year B/1

DAILY EUCHARIST
Jeremiah 23:5-8
Psalm 72:11-19
Matthew 1:18-25

DAILY PRAYER: Anticipation 
Isaiah 42:1-12
Ephesians 6:10-20
John 3:16-21

---

EMBER DAY READINGS
Friday after 13 December

Numbers 27:15-23
Psalm 40:8-13
1 Corinthians 3:3-11
Luke 4:16-21",Normal,Normal,3
Saturday after Third Sunday of Advent,2020-12-19,,,,TRUE,FALSE,"Saturday 19 December 2020

Saturday after Third Sunday of Advent (Violet)
Week of Advent 3
Year B/1

DAILY EUCHARIST
Judges 13:2-7, 24-25
Psalm 71:1-8
Luke 1:5-25

DAILY PRAYER: Anticipation 
Isaiah 11:1-9
Revelation 20:1-10
John 5:30-47

---

EMBER DAY READINGS
Saturday after 13 December

1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27",Normal,Normal,3
Fourth Sunday of Advent [1] Violet,2020-12-20,,,,TRUE,FALSE,"Sunday 20 December 2020

Fourth Sunday of Advent [1] Violet
Week of Advent 4
Year B/1

EUCHARIST
2 Samuel 7:1-11, 16
Canticle: Luke 1:47-55 or Psalm 89:1-4, 19-26
Romans 16:25-27
Luke 1:26-38

DAILY PRAYER: Anticipation 
Isaiah 11:10-16
Revelation 20:11 - 21:8
Luke 1:5-25",Normal,Normal,3
"Thomas, Apostle [4] Red (if not kept on 3 July)",2020-12-21,,,,TRUE,FALSE,"Monday 21 December 2020

Thomas, Apostle [4] Red (if not kept on 3 July)
Week of Advent 4
Year B/1

EUCHARIST
Habakkuk 2:1-4
Psalm 31:1-6
Hebrews 10:35 - 11:1 or Ephesians 2:19-22
John 20:24-29

MORNING PRAYER: Festivals
Job 42:1-6
1 Peter 1:3-9

EVENING PRAYER: Festivals
Isaiah 43:8-13
John 14:1-7

---

Monday after Fourth Sunday of Advent (Violet)
Week of Advent 4
Year B/1

DAILY EUCHARIST
Song of Solomon 2:8-14 or Zephaniah 3:14-18a
Psalm 33:1-5, 20-22
Luke 1:39-45

DAILY PRAYER: Anticipation 
Isaiah 28:9-22
Revelation 21:9-21
Luke 1:26-38",Normal,Normal,3
Tuesday after Fourth Sunday of Advent,2020-12-22,,,,TRUE,FALSE,"Tuesday 22 December 2020

Tuesday after Fourth Sunday of Advent (Violet)
Week of Advent 4
Year B/1

DAILY EUCHARIST
1 Samuel 1:19-28
Psalm 113 or Psalm 122
Luke 1:46-56

DAILY PRAYER: Anticipation 
Isaiah 29:13-24
Revelation 21:22 - 22:5
Luke 1:39-48a, (48b-56)",Normal,Normal,3
Wednesday after Fourth Sunday of Advent,2020-12-23,,,,TRUE,FALSE,"Wednesday 23 December 2020

Wednesday after Fourth Sunday of Advent (Violet)
Week of Advent 4
Year B/1

DAILY EUCHARIST
Malachi 3:1-5
Psalm 25:1-14
Luke 1:57-66

DAILY PRAYER: Anticipation 
Isaiah 33:17-22
Revelation 22:6-11, 18-20
Luke 1:57-66",Normal,Normal,3
Christmas Eve [2] Violet,2020-12-24,,,,TRUE,FALSE,"Thursday 24 December 2020

Christmas Eve [2] Violet
Week of Advent 4
Year B/1

DAILY EUCHARIST
2 Samuel 7:1-16
Psalm 89:1-4, 19-29
Luke 1:67-79

MORNING PRAYER: Anticipation 
Isaiah 35:1-10
Revelation 22:12-17, 21
Luke 1:67-80

EVENING PRAYER: Anticipation 
Isaiah 59:15b-21
Philippians 2:5-11",Normal,Normal,3
