Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
"Nicholas of Myra, Bishop, 4th century [6] White (translated from 6 December)",09/12/2015,,,,TRUE,FALSE,"Week of Advent 2
Wednesday after Second Sunday of Advent

DAILY EUCHARIST (Violet)
Isaiah 40:25-31 
Psalm 103:1-10 
Matthew 11:28-30

DAILY PRAYER: Anticipation 
Amos 8:1-14
Revelation 1:17 - 2:7
Matthew 23:1-12",Normal,Normal,3
Thursday after Second Sunday of Advent,10/12/2015,,,,TRUE,FALSE,"Week of Advent 2
Thursday after Second Sunday of Advent

DAILY EUCHARIST (Violet)
Isaiah 41:13-20 
Psalm 145:1-4, 8-13 
Matthew 11:7-15 

DAILY PRAYER: Anticipation 
Amos 9:1-10
Revelation 2:8-17
Matthew 23:13-26",Normal,Normal,3
Friday after Second Sunday of Advent,11/12/2015,,,,TRUE,FALSE,"Week of Advent 2
Friday after Second Sunday of Advent

DAILY EUCHARIST (Violet)
Isaiah 48:17-19 
Psalm 1 
Matthew 11:16-19

DAILY PRAYER: Anticipation 
Haggai 1:1-15
Revelation 2:18-29
Matthew 23:27-39",Normal,Normal,3
Saturday after Second Sunday of Advent,12/12/2015,,,,TRUE,FALSE,"Week of Advent 2
Saturday after Second Sunday of Advent

DAILY EUCHARIST (Violet)
Sirach 48:1-11
Psalm 80:1-3, 14-18
Matthew 17:9-13

DAILY PRAYER: Anticipation 
Haggai 2:1-9
Revelation 3:1-6
Matthew 24:1-14
",Normal,Normal,3
Third Sunday of Advent [1] Violet,13/12/2015,,,,TRUE,FALSE,"Week of Advent 3
THIRD SUNDAY OF ADVENT [1] Violet

EUCHARIST
Zephaniah 3:14-20
Canticle: Isaiah 12:2-6
Philippians 4:4-7
Luke 3:7-18

DAILY PRAYER: Anticipation 
Isaiah 5:8-30
Acts 13:13-41
John 5:31-40

ALTERNATIVE PSALMS
Morning: Psalm 12
Evening: Psalm 68:1-8, (9-20)",Normal,Normal,3
"John of the Cross, Priest, Teacher of the Faith, 1591 [6] White",14/12/2015,,,,TRUE,FALSE,"Week of Advent 3
Monday after Third Sunday of Advent

DAILY EUCHARIST (Violet)
Numbers 24:2-7, 15-17a
Psalm 25:3-8
Matthew 21:23-27

DAILY PRAYER: Anticipation 
Zechariah 1:7-17
Revelation 3:7-13
Matthew 24:15-31",Normal,Normal,3
Tuesday after Third Sunday of Advent,15/12/2015,,,,TRUE,FALSE,"Week of Advent 3
Tuesday after Third Sunday of Advent

DAILY EUCHARIST (Violet)
Zephaniah 3:1-2. 9-13
Psalm 34:1-8, 15-22
Matthew 21:28-32

DAILY PRAYER: Anticipation 
Zechariah 2:1-13
Revelation 3:14-22
Matthew 24:32-44",Normal,Normal,3
Wednesday after Third Sunday of Advent,16/12/2015,,,,TRUE,FALSE,"Week of Advent 3
Wednesday after Third Sunday of Advent

DAILY EUCHARIST (Violet)
Isaiah 45:5-8, (9-17), 18-25
Psalm 85:8-13
Luke 7:19-23

DAILY PRAYER: Anticipation 
Zechariah 3:1-10
Revelation 4:1-8
Matthew 24:45-51

EMBER DAY READINGS
Isaiah 44:1-8
Psalm 87
1 Peter 2:4-10
John 17:6-19",Normal,Normal,3
Thursday after Third Sunday of Advent,17/12/2015,,,,TRUE,FALSE,"Week of Advent 3
Thursday after Third Sunday of Advent

DAILY EUCHARIST (Violet)
Isaiah 54:1-10
Psalm 30
Luke 7:24-30

DAILY PRAYER: Anticipation 
Zechariah 4:1-14
Revelation 4:9 - 5:5
Matthew 25:1-13",Normal,Normal,3
Friday after Third Sunday of Advent,18/12/2015,,,,TRUE,FALSE,"Week of Advent 3
Friday after Third Sunday of Advent

DAILY EUCHARIST (Violet)
Isaiah 56:1-8
Psalm 67
John 5:33-36

DAILY PRAYER: Anticipation 
Zechariah 7:8 - 8:8
Revelation 5:6-14
Matthew 25:14-30

EMBER DAY READINGS
Numbers 27:15-23
Psalm 40:8-13
1 Corinthians 3:3-11
Luke 4:16-21",Normal,Normal,3
Saturday after Third Sunday of Advent,19/12/2015,,,,TRUE,FALSE,"Week of Advent 3
Saturday after Third Sunday of Advent

DAILY EUCHARIST (Violet)
The readings are interrupted after 17 December in favour of the readings identified by date in the Week of Advent 4.

DAILY PRAYER: Anticipation 
Zechariah 8:9-17
Revelation 6:1-17
Matthew 25:31-46

EMBER DAY READINGS
1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27",Normal,Normal,3
Fourth Sunday of Advent [1] Violet,20/12/2015,,,,TRUE,FALSE,"Week of Advent 4
FOURTH SUNDAY OF ADVENT [1] Violet

EUCHARIST
Micah 5:2-5a
Canticle: Luke 1:47-55 or Psalm 80:1-7
Hebrews 10:5-10
Luke 1:39-45, (46-55)

Week of Advent 4
20 December

DAILY EUCHARIST (Violet)
Isaiah 7:10-14
Psalm 24
Luke 1:26-38

DAILY PRAYER: Anticipation 
1 Samuel 2:1b-10
Titus 2:1-10
Luke 1:26-38",Normal,Normal,3
"Thomas, Apostle [4] Red (if not kept on 3 July)",21/12/2015,,,,TRUE,FALSE,"Thomas, Apostle [4] Red (if not kept on 3 July)

EUCHARIST
Habakkuk 2:1-4
Psalm 31:1-6
Hebrews 10:35 - 11:1 or Ephesians 2:19-22
John 20:24-29

MORNING PRAYER: Festivals
Job 42:1-6
1 Peter 1:3-9

EVENING PRAYER: Festivals
Isaiah 43:8-13
John 14:1-7",Normal,Normal,3
Tuesday after Fourth Sunday of Advent,22/12/2015,,,,TRUE,FALSE,"Week of Advent 4
22 December

DAILY EUCHARIST (Violet)
1 Samuel 1:19-28
Psalm 113 or Psalm 122
Luke 1:46-56

DAILY PRAYER: Anticipation 
2 Samuel 7:18-29
Galatians 3:1-14
Luke 1:57-66",Normal,Normal,3
Wednesday after Fourth Sunday of Advent,23/12/2015,,,,TRUE,FALSE,"Week of Advent 4
23 December

DAILY EUCHARIST (Violet)
Malachi 3:1-5
Psalm 25:1-14
Luke 1:57-66

DAILY PRAYER: Anticipation 
Baruch 4:21-29
Galatians 3:15-22
Luke 1:67-80 or Matthew 1:1-17",Normal,Normal,3
Christmas Eve [2],24/12/2015,,,,TRUE,FALSE,"Christmas
CHRISTMAS EVE [2] (24 December)

DAILY EUCHARIST (Violet)
2 Samuel 7:1-16
Psalm 89:1-4, 19-29
Luke 1:67-79

DAILY PRAYER: Anticipation 
Morning:
Baruch 4:36 - 5:9
Galatians 3:23 - 4:7
Matthew 1:18-25

Evening:
Isaiah 59:15b-21
Philippians 2:5-11",Normal,Normal,3
CHRISTMAS DAY [1] White,25/12/2015,,,,TRUE,FALSE,"EUCHARIST (CHRISTMAS DAY [1] White)
Any of these propers may be used at midnight or during the day:  Those listed under C should be used at least once during the Christmas season:

A
Isaiah 9:2-7
Psalm 96
Titus 2:11-14
Luke 2:1-14 (15-20) 

B
Isaiah 62:6-12
Psalm 97
Titus 3:4-7
Luke 2: (1-7) 8-20

C
Isaiah 52:7-10
Psalm 98
Hebrews 1:1-4 (5-12) 
John 1:1-14

DAILY PRAYER: Incarnation 
Micah 4:1-5; 5:2-4
1 John 4:7-16
John 3:31-36",Normal,Normal,3
"Stephen, Deacon and Martyr [4] Red",26/12/2015,,,,TRUE,FALSE,"The Remaining Days of Christmas
Stephen, Deacon and Martyr [4] Red (26 December)

DAILY EUCHARIST
Jeremiah 26:1-9, 12-15
Psalm 31:1-7, 16
Acts 6:8 - 7:2a, 51c-60
Matthew 23:34-39

DAILY PRAYER: Incarnation/Festivals
Morning:
2 Chronicles 24:17-22
Acts 6:1-7

Evening:
Wisdom of Solomon 4:7-15
Acts 7:59 - 8:8",Normal,Normal,3
First Sunday after Christmas [2] White,27/12/2015,,,,TRUE,FALSE,"Week of Christmas 1
First Sunday after Christmas [2] White

EUCHARIST
1 Samuel 2:18-20, 26
Psalm 148
Colossians 3:12-17
Luke 2:41-52

DAILY PRAYER: Incarnation 
Isaiah 35:1-10
Galatians 3:27 - 4:7
Luke 2:15-21

ALTERNATIVE PSALMS
Morning: Psalm 132
Evening: Psalm 105:1-9",Normal,Normal,3
The Holy Innocents [4] White,28/12/2015,,,,TRUE,FALSE,"The Remaining Days of Christmas
The Holy Innocents [4] White (28 December)

DAILY EUCHARIST
Jeremiah 31:15-17
Psalm 124
Revelation 21:1-7
Matthew 2:13-18

DAILY PRAYER: Incarnation/Festivals
Morning:
Isaiah 49:13-23
Matthew 18:1-14

Evening:
Isaiah 54:1-13
Mark 10:13-16",Normal,Normal,3
"John, Apostle and Evangelist [4] White (translated from 27 December)",29/12/2015,,,,TRUE,FALSE,"The Remaining Days of Christmas
John, Apostle and Evangelist [4] White (27 December)

DAILY EUCHARIST
Genesis 1 or Genesis 1:1-5, 12-19
Psalm 92:1-2, 11-14
1 John 1:1-9
John 20:1-8

DAILY PRAYER: Incarnation/Festivals
Morning:
Proverbs 8:22-30
John 13:20-35

Evening:
Isaiah 44:1-8
1 John 5:1-12",Normal,Normal,3
"Josephine Butler, 1905 [6] White",30/12/2015,,,,TRUE,FALSE,"The Remaining Days of Christmas
30 December

DAILY EUCHARIST (White)
1 John 2:12-17
Psalm 96:7-10
Luke 2:36-40

DAILY PRAYER: Incarnation 
1 Kings 17:17-24
3 John 1-15
John 4:46-54",Normal,Normal,3
"John Wycliffe, Priest, 1384 [6] White",31/12/2015,,,,TRUE,FALSE,"The Remaining Days of Christmas
31 December (Hogmanay)

DAILY EUCHARIST (White)
1 John 2:18-21
Psalm 96:1-2, 11-13
John 1:1-18

DAILY PRAYER: Incarnation 
Morning:
1 Kings 3:5-14
James 4:13-17; 5:7-11
John 5:1-15

Evening:
Isaiah 65:15b-25
Revelation 21:1-6",Normal,Normal,3
THE NAMING OF JESUS [2] White,01/01/2016,,,,TRUE,FALSE,"Week of Christmas 2
1 January (New Year's Day)
THE NAMING OF JESUS [2] White

DAILY EUCHARIST
Numbers 6:22-27
Psalm 8
Galatians 4:4-7 or Philippians 2:5-11
Luke 2:15-21

DAILY PRAYER: Incarnation/Festivals 
Isaiah 62:1-5, 10-12
Revelation 19:11-16
Matthew 1:18-25",Normal,Normal,3
"Seraphim of Sarov, 1833 [6] White",02/01/2016,,,,TRUE,FALSE,"Week of Christmas 2
02 January

DAILY EUCHARIST (White)
1 John 1:22-29
Psalm 98:1-5
John 1:19-28

DAILY PRAYER: Incarnation 
1 Kings 19:1-8
Ephesians 4:1-16
John 6:1-14",Normal,Normal,3
Second Sunday after Christmas [3] White,03/01/2016,,,,TRUE,FALSE,"Week of Christmas 2
Second Sunday after Christmas [3] White

EUCHARIST
Jeremiah 31:7-14 or Sirach 24:1-12
Psalm 147:12-20 or Wisdom of Solomon 10:15-21
Ephesians 1:3-14
John 1:(1-9), 10-18

DAILY PRAYER: Incarnation 
Isaiah 46:3-13
Colossians 1:1-14
Luke 2:41-52

ALTERNATIVE PSALMS
Morning: Psalm 135:1-14
Evening: Psalm 87",Normal,Normal,3
"Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red (translated from 29 December)",04/01/2016,,,,TRUE,FALSE,"Week of Christmas 2
4 January

DAILY EUCHARIST (White)
1 John 3:7-10
Psalm 98:1-2, 8-10
John 1:35-42

DAILY PRAYER: Incarnation 
Joshua 3:14 - 4:7
Ephesians 5:1-20
John 9:1-12, 35-38",Normal,Normal,3
Tuesday after Second Sunday after Christmas,05/01/2016,,,,TRUE,FALSE,"Week of Christmas 2
5 January

DAILY EUCHARIST (White)
1 John 3:11-18
Psalm 100
John 1:43-51

DAILY PRAYER: Incarnation 
Morning:
Jonah 2:2-9
Ephesians 6:10-20
John 11:17-27, 38-44

Evening:
Isaiah 66:18-22
Romans 15:7-13",Normal,Normal,3
THE EPIPHANY [1] White,06/01/2016,,,,TRUE,FALSE,"Epiphany
THE EPIPHANY [1] White (6 January)

EUCHARIST
1 Isaiah 60:1-6
Psalm 72:1-7, 10-14
Ephesians 3:1-12
Matthew 2:1-12

DAILY PRAYER: Incarnation 
Isaiah 49:1-7
Revelation 21:22-27
Matthew 12:14-21",Normal,Normal,3
Thursday after the Epiphany,07/01/2016,,,,TRUE,FALSE,"The days following Epiphany
7 January

DAILY EUCHARIST (White)
1 John 3:18 - 4:6
Psalm 2
Matthew 4:12-17, 23-25

DAILY PRAYER: Incarnation 
Deuteronomy 8:1-3
Colossians 1:1-14
John 6:30-33, 48-51",Normal,Normal,3
Friday after the Epiphany,08/01/2016,,,,TRUE,FALSE,"The days following Epiphany
8 January

DAILY EUCHARIST (White)
1 John 4:7-12
Psalm 72:1-8
Mark 6:30-44

DAILY PRAYER: Incarnation 
Exodus 17:1-7
Colossians 1:15-23
John 7:37-52",Normal,Normal,3
Saturday after the Epiphany,09/01/2016,,,,TRUE,FALSE,"The days following Epiphany
9 January

DAILY EUCHARIST (White)
1 John 4:11-19
Psalm 72:1-2, 10-13
Mark 6:45-52

DAILY PRAYER: Incarnation 
Isaiah 45:14-19
Colossians 1:24 - 2:7
John 8:12-19",Normal,Normal,3
First Sunday after Epiphany: The Baptism of the Lord [2] White,10/01/2016,,,,TRUE,FALSE,"Week of Proper 1
First Sunday after Epiphany: The Baptism of the Lord [2] White

EUCHARIST
Isaiah 43:1-7
Psalm 29
Acts 8:14-17
Luke 3:15-17, 21-22

DAILY PRAYER: Festivals 
Isaiah 42:1-9
Ephesians 2:1-10
Luke 3:15-22

ALTERNATIVE PSALMS
Morning: Psalm 46
Evening: Psalm 89:20-29",Normal,Normal,3
"David, King of Scots, 1153 [6] Red",11/01/2016,,,,TRUE,FALSE,"Week of Proper 1
Monday after First Sunday after Epiphany

DAILY EUCHARIST (Green)
1 Samuel 1:1-8
Psalm 116:10-17
Mark 1:14-20

DAILY PRAYER: Week A 
Genesis 1:1 - 2:3
Hebrews 1:1-14
John 1:1-18",Normal,Normal,3
"William Laud, Bishop, 1645 [6] Red (translated from 10 January)",12/01/2016,,,,TRUE,FALSE,"Week of Proper 1
Tuesday after First Sunday after Epiphany

DAILY EUCHARIST (Green)
1 Samuel 1:9-20
Psalm 123
Mark 1:21-28

DAILY PRAYER: Week A 
Genesis 2:4-9, (10-15), 16-25
Hebrews 2:1-10
John 1:19-28",Normal,Normal,3
"Kentigern (or Mungo), Bishop c.603 [4] White",13/01/2016,,,,TRUE,FALSE,"Kentigern (or Mungo), Bishop c.603 [4] White

EUCHARIST
Isaiah 52:7-10
Psalm 16:5-11
1 Thessalonians 2:2-12 or 1 Corinthians 9:16-19, 22-23
Matthew 28:16-20

MORNING PRAYER: Festivals
Isaiah 44:1-8
1 Thessalonians 1:2-10 or 2 Corinthians 2:12 - 3:11

EVENING PRAYER: Festivals
Sirah 50:1-24 or Isaiah 52:7-12
John 1:1-18",Normal,Normal,3
"Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White",14/01/2016,,,,TRUE,FALSE,"Week of Proper 1
Thursday after First Sunday after Epiphany

DAILY EUCHARIST (Green)
1 Samuel 4:1c-11
Psalm 44:7-14, 23-26
Mark 1:40-45

DAILY PRAYER: Week A 
Genesis 4:1-26
Hebrews 3:1-11
John 1:43-51",Normal,Normal,3
Friday after First Sunday after Epiphany,15/01/2016,,,,TRUE,FALSE,"Week of Proper 1
Friday after First Sunday after Epiphany

DAILY EUCHARIST (Green)
1 Samuel 8:4-7, 10-22a
Psalm 89:15-18
Mark 2:1-12

DAILY PRAYER: Week A 
Genesis 6:1-8
Hebrews 3:12-19
John 2:1-12",Normal,Normal,3
Saturday after First Sunday after Epiphany,16/01/2016,,,,TRUE,FALSE,"Week of Proper 1
Saturday after First Sunday after Epiphany

DAILY EUCHARIST  (Green)
1 Samuel 9:1-4, 15-19; 10:1ab (not c)
Psalm 21:1-7
Mark 2:13-17

DAILY PRAYER: Week A 
Genesis 6:9-22
Hebrews 4:1-13
John 2:13-22",Normal,Normal,3
Second Sunday after Epiphany [3] Green,17/01/2016,,,,TRUE,FALSE,"Week of Proper 2
Second Sunday after Epiphany [3] Green

EUCHARIST
Isaiah 62:1-5
Psalm 36:5-10
1 Corinthians 12:1-11
John 2:1-11

DAILY PRAYER: Week B 
Isaiah 60:9-22
Galatians 1:11-24
John 1:43-51

ALTERNATIVE PSALMS
Morning: Psalm 96
Evening: Psalm 145:1-12",Normal,Normal,3
The Confession of Peter [6] White,18/01/2016,,,,TRUE,FALSE,"Week of Proper 2
Monday after Second Sunday after Epiphany

DAILY EUCHARIST (Green)
1 Samuel 15:16-23
Psalm 50:7-15, 24
Mark 2:18-22

DAILY PRAYER: Week B 
Genesis 7:1-10, 17-23
Hebrews 4:14 - 5:6
John 2:23 - 3:15",Normal,Normal,3
"Antony of Egypt, Abbot, 356 [6] White (translated from 17 January)",19/01/2016,,,,TRUE,FALSE,"Week of Proper 2
Tuesday after Second Sunday after Epiphany

DAILY EUCHARIST  (Green)
1 Samuel 16:1-13
Psalm 89:19-27
Mark 2:23-28

DAILY PRAYER: Week B 
Genesis 8:6-22
Hebrews 5:7-14
John 3:16-21",Normal,Normal,3
Wednesday after Second Sunday after Epiphany,20/01/2016,,,,TRUE,FALSE,"Week of Proper 2
Wednesday after Second Sunday after Epiphany

DAILY EUCHARIST (Green)
1 Samuel 17:32-51
Psalm 144:1-10
Mark 3:1-6

DAILY PRAYER: Week B 
Gensis 9:1-29
Hebrews 6:1-12
John 3:22-36",Normal,Normal,3
"Agnes, Martyr, c.304 [6] Red",21/01/2016,,,,TRUE,FALSE,"Week of Proper 2
Thursday after Second Sunday after Epiphany

DAILY EUCHARIST (Green)
1 Samuel 18:6-9; 19:1-8
Psalm 56
Mark 3:7-12

DAILY PRAYER: Week B 
Genesis 11:1-9
Hebrews 6:13-20
John 4:1-15",Normal,Normal,3
Friday after Second Sunday after Epiphany,22/01/2016,,,,TRUE,FALSE,"Week of Proper 2
Friday after Second Sunday after Epiphany

DAILY EUCHARIST (Green)
1 Samuel 24:2-30
Psalm 57
Mark 3:13-19

DAILY PRAYER: Week B 
Genesis 11:27 - 13:1
Hebrews 7:1-17
John 4:16-26",Normal,Normal,3
Saturday after Second Sunday after Epiphany,23/01/2016,,,,TRUE,FALSE,"Week of Proper 2
Saturday after Second Sunday after Epiphany

DAILY EUCHARIST (Green)
2 Samuel 1:1-4, 11-12, 19-27
Psalm 80:1-7
John 8:51-59

DAILY PRAYER: Week B 
Genesis 13:2-18
Hebrews 7:18-28
John 4:27-42
",Normal,Normal,3
Third Sunday after Epiphany [3] Green,24/01/2016,,,,TRUE,FALSE,"Week of Proper 3
Third Sunday after Epiphany [3] Green

EUCHARIST
Nehemiah 8:1-3, 5-6, 8-10
Psalm 19
1 Corinthians 12:12-31a
Luke 4:14-21

DAILY PRAYER: Week C 
Jeremiah 3:21 - 4:2
1 Peter 1:3-12
Luke 4:12-21

ALTERNATIVE PSALMS
Morning: Psalm 33
Evening: Psalm 113",Normal,Normal,3
"The Conversion of Paul, Apostle [4] White",25/01/2016,,,,TRUE,FALSE,"The Conversion of Paul, Apostle [4] White

EUCHARIST
Acts 26:9-23
Psalm 67
Galatians 1:11-24
Matthew 10:16-22 or Matthew 19:27-30

MORNING PRAYER: Festivals
Isaiah 45:18-25
Philippians 3:4b-11

EVENING PRAYER: Festivals
Sirach 39:1-10
Acts 9:1-22",Normal,Normal,3
"Timothy and Titus, Bishops [6] White",26/01/2016,,,,TRUE,FALSE,"Week of Proper 3
Tuesday after Third Sunday after Epiphany

DAILY EUCHARIST (Green)
2 Samuel 6:12b-19
Psalm 24:7-10
Mark 3:31-35

DAILY PRAYER: Week C 
Genesis 15:1-11, 17-21
Hebrews 9:1-14
John 5:1-18",Normal,Normal,3
"John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White",27/01/2016,,,,TRUE,FALSE,"Week of Proper 3
Wednesday after Third Sunday after Epiphany

DAILY EUCHARIST (Green)
2 Samuel 7:4-17
Psalm 89:1-4
Mark 4:1-20

DAILY PRAYER: Week C 
Genesis 16:1-14
Hebrews 9:15-28
John 5:19-29",Normal,Normal,3
"Thomas Aquinas, Teacher of the Faith, 1274 [6] White",28/01/2016,,,,TRUE,FALSE,"Week of Proper 3
Thursday after Third Sunday after Epiphany

DAILY EUCHARIST (Green)
2 Samuel 7:18-19, 24-29
Psalm 132:1-5, 11-15
Mark 4:21-25

DAILY PRAYER: Week C 
Genesis 16:15 - 17:14
Hebrews 10:1-10
John 5:30-47",Normal,Normal,3
"Francis de Sales, Bishop, 1622 [6] White (translated from 24 January)",29/01/2016,,,,TRUE,FALSE,"Week of Proper 3
Friday after Third Sunday after Epiphany

DAILY EUCHARIST (Green)
2 Samuel 11:1-17
Psalm 51:1-10
Mark 4:26-34

DAILY PRAYER: Week C 
Genesis 17:15-27
Hebrews 10:11-25
John 6:1-15",Normal,Normal,3
"Charles I, King, 1649 [6] Red",30/01/2016,,,,TRUE,FALSE,"Week of Proper 3
Saturday after Third Sunday after Epiphany

DAILY EUCHARIST (Green)
2 Samuel 12:1-25
Psalm 51:11-18
Mark 4:35-41

DAILY PRAYER: Week C 
Genesis 18:1-33
Hebrews 10:26-39
John 6:16-27",Normal,Normal,3
Fourth Sunday after Epiphany [3] Green,31/01/2016,,,,TRUE,FALSE,"Week of Proper 4
Fourth Sunday after Epiphany [3] Green

EUCHARIST
Jeremiah 1:4-10
Psalm 71:1-6
1 Corinthians 13:1-13
Luke 4:21-30

DAILY PRAYER: Week D 
1 Samuel 3:1-20
1 Corinthians 14:12-20
Matthew 13:10-17

ALTERNATIVE PSALMS
Morning: Psalm 34
Evening: Psalm 71:1-6, 15-17",Normal,Normal,3
"Bride of Kildare, Abbess, c.525 [6] White",01/02/2016,,,,TRUE,FALSE,"Week of Proper 4
Monday after Fourth Sunday after Epiphany

DAILY EUCHARIST (Green)
2 Samuel 15:13-14, 30; 16:5-14
Psalm 3
Mark 5:1-20

MORNING PRAYER: Week D 
Genesis 19:1-17, (18-23), 24-29
Hebrews 11:1-12
John 6:27-40

Evening before THE PRESENTATION OF THE LORD (2 Feb)
EVENING PRAYER: Festivals
1 Samuel 1:20-28a
Romans 8:14-21",Normal,Normal,3
THE PRESENTATION OF THE LORD [2] White,02/02/2016,,,,TRUE,FALSE,"THE PRESENTATION OF THE LORD [2] White

EUCHARIST
Malachi 3:1-4
Psalm 84 or Psalm 24:7-10
Hebrews 2:14-18
Luke 2:22-40

MORNING PRAYER: Festivals
1 Samuel 2:1-10
John 8:31-36

EVENING PRAYER: Festivals
Haggai 2:1-9
1 John 3:1-8",Normal,Normal,3
Saints and Martyrs of Europe [6] Red,03/02/2016,,,,TRUE,FALSE,"Week of Proper 4
Wednesday after Fourth Sunday after Epiphany

DAILY EUCHARIST (Green)
2 Samuel 24:2, 9-17
Psalm 32:1-8
Mark 6:1-6

DAILY PRAYER: Week D 
Genesis 22:1-18
Hebrews 11:23-31
John 6:52-59",Normal,Normal,3
"Charles Mackenzie of Central Africa, Bishop, Missionary, Martyr, 1862 [6] Red (translated from 31 January)",04/02/2016,,,,TRUE,FALSE,"Week of Proper 4
Thursday after Fourth Sunday after Epiphany
(Consecration of the Rt Revd Kevin Pearson, Bishop of Argyll and the Isles, 2011)

DAILY EUCHARIST (Green)
1 Kings 2:1-4, 10-12
Psalm 132:10-19
Mark 6:7-13

DAILY PRAYER: Week D 
Genesis 23:1-20
Hebrews 11:32 - 12:2
John 6:60-71",Normal,Normal,3
